V,IncidenceDegree Complete - average time,IncidenceDegree Cycle - average time,E,IncidenceDegree Random E = 0 - average time,E,IncidenceDegree Random E = V - average time,E,IncidenceDegree Random E = (complete) * .25 - average time,E,IncidenceDegree Random E = (complete) * .5 - average time,E,IncidenceDegree Random E = (complete) * .75 - average time,,,,,,,
4,3,2.4,0,2,4,2.6,1.5,1.8,3,2.4,4.5,3.2,,,,,,,
8,5.8,10.4,0,2.6,8,4.4,7,3,14,4.2,21,6.6,,,,,,,
16,17.2,6.6,0,4,16,7.8,30,9.6,60,12.2,90,18,,,,,,,
32,63,11.6,0,8.6,32,11.6,124,26.6,248,38,372,60.4,,,,,,,
64,242,20.6,0,13.4,64,22.4,504,101,1008,137.2,1512,260.2,,,,,,,
128,949.8,40.2,0,26,128,42.8,2032,269.8,4064,533.2,6096,762,,,,,,,
256,4284,84,0,51.8,256,96.2,8160,1040.6,16320,2042.8,24480,3032.4,,,,,,,
512,16492,165,0,109.4,512,227.2,32704,4419.2,65408,10812,98112,15945.4,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Complete,,,,Cycle,,,,Random E = 0,,,,Random E = V,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,3,,4,4,2.4,,4,0,2,,4,4,2.6,,,,,
8,28,5.8,,8,8,10.4,,8,0,2.6,,8,8,4.4,,,,,
16,120,17.2,,16,16,6.6,,16,0,4,,16,16,7.8,,,,,
32,496,63,,32,32,11.6,,32,0,8.6,,32,32,11.6,,,,,
64,2016,242,,64,64,20.6,,64,0,13.4,,64,64,22.4,,,,,
128,8128,949.8,,128,128,40.2,,128,0,26,,128,128,42.8,,,,,
256,32640,4284,,256,256,84,,256,0,51.8,,256,256,96.2,,,,,
512,130816,16492,,512,512,165,,512,0,109.4,,512,512,227.2,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random E = 0,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,2,1.8,,4,3,2.4,,4,5,3.2,,4,3,2.4,2,2.6,1.8,2.4,3.2
8,7,3,,8,14,4.2,,8,21,6.6,,8,5.8,10.4,2.6,4.4,3,4.2,6.6
16,30,9.6,,16,60,12.2,,16,90,18,,16,17.2,6.6,4,7.8,9.6,12.2,18
32,124,26.6,,32,248,38,,32,372,60.4,,32,63,11.6,8.6,11.6,26.6,38,60.4
64,504,101,,64,1008,137.2,,64,1512,260.2,,64,242,20.6,13.4,22.4,101,137.2,260.2
128,2032,269.8,,128,4064,533.2,,128,6096,762,,128,949.8,40.2,26,42.8,269.8,533.2,762
256,8160,1040.6,,256,16320,2042.8,,256,24480,3032.4,,256,4284,84,51.8,96.2,1040.6,2042.8,3032.4
512,32704,4419.2,,512,65408,10812,,512,98112,15945.4,,512,16492,165,109.4,227.2,4419.2,10812,15945.4