V,Random Complete - average time,Random Cycle - average time,E,Random Random E = 0 - average time,E,Random Random E = V - average time,E,Random Random E = (complete) * .25 - average time,E,Random Random E = (complete) * .5 - average time,E,Random Random E = (complete) * .75 - average time,,,,,,,
4,1,1,0,1,4,1,1.5,1.2,3,1,4.5,2.2,,,,,,,
8,1.6,2,0,2,8,2.2,7,2,14,4.6,21,1.2,,,,,,,
16,2,2,0,2,16,2,30,2.2,60,2,90,2.2,,,,,,,
32,4.2,6.4,0,4,32,4.6,124,4,248,3.4,372,3.8,,,,,,,
64,7.4,6.2,0,7.2,64,6.4,504,6.4,1008,6.4,1512,6.8,,,,,,,
128,20.2,12,0,14.6,128,13.4,2032,15.2,4064,12.2,6096,12.4,,,,,,,
256,25.2,23.6,0,24.6,256,23,8160,23.6,16320,27.2,24480,24,,,,,,,
512,50.2,67.2,0,66.8,512,61,32704,78.2,65408,46,98112,74,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Complete,,,,Cycle,,,,Random E = 0,,,,Random E = V,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,1,,4,4,1,,4,0,1,,4,4,1,,,,,
8,28,1.6,,8,8,2,,8,0,2,,8,8,2.2,,,,,
16,120,2,,16,16,2,,16,0,2,,16,16,2,,,,,
32,496,4.2,,32,32,6.4,,32,0,4,,32,32,4.6,,,,,
64,2016,7.4,,64,64,6.2,,64,0,7.2,,64,64,6.4,,,,,
128,8128,20.2,,128,128,12,,128,0,14.6,,128,128,13.4,,,,,
256,32640,25.2,,256,256,23.6,,256,0,24.6,,256,256,23,,,,,
512,130816,50.2,,512,512,67.2,,512,0,66.8,,512,512,61,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random E = 0,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,2,1.2,,4,3,1,,4,4.5,2.2,,4,1,1,1,1,1.2,1,2.2
8,7,2,,8,14,4.6,,8,21,1.2,,8,1.6,2,2,2.2,2,4.6,1.2
16,30,2.2,,16,60,2,,16,90,2.2,,16,2,2,2,2,2.2,2,2.2
32,124,4,,32,248,3.4,,32,372,3.8,,32,4.2,6.4,4,4.6,4,3.4,3.8
64,504,6.4,,64,1008,6.4,,64,1512,6.8,,64,7.4,6.2,7.2,6.4,6.4,6.4,6.8
128,2032,15.2,,128,4064,12.2,,128,6096,12.4,,128,20.2,12,14.6,13.4,15.2,12.2,12.4
256,8160,23.6,,256,16320,27.2,,256,24480,24,,256,25.2,23.6,24.6,23,23.6,27.2,24
512,32704,78.2,,512,65408,46,,512,98112,74,,512,50.2,67.2,66.8,61,78.2,46,74