V,SmallestLast Complete - average Colors,SmallestLast Cycle - average Colors,,,E,SmallestLast Random E = V - average Colors,E,SmallestLast Random E = (complete) * .25 - average Colors,E,SmallestLast Random E = (complete) * .5 - average Colors,E,SmallestLast Random E = (complete) * .75 - average Colors,,,,,,
4,4,2,,,4,3,1.5,2,3,3,4.5,3,,,,,,
8,8,2,,,8,3,7,3,14,3,21,5,,,,,,
16,16,2,,,16,3,30,4,60,6,90,8,,,,,,
32,32,2,,,32,3,124,6,248,8,372,14,,,,,,
64,64,2,,,64,3,504,9,1008,15,1512,23,,,,,,
128,128,2,,,128,3,2032,14.4,4064,24,6096,40.6,,,,,,
256,256,2,,,256,3,8160,22.8,16320,41.6,24480,67.4,,,,,,
512,512,2,,,512,3,32704,37.8,65408,71.6,98112,120.4,,,,,,
,Complete,,,,Cycle,,,,Random E = V,,,,,,,,,
V,E,Colors,,V,E,Colors,,V,E,Colors,,,Complete,Cycle,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,6,4,,4,4,2,,4,4,3,,4,4,2,3,2,3,3
8,28,8,,8,8,2,,8,8,3,,8,8,2,3,3,3,5
16,120,16,,16,16,2,,16,16,3,,16,16,2,3,4,6,8
32,496,32,,32,32,2,,32,32,3,,32,32,2,3,6,8,14
64,2016,64,,64,64,2,,64,64,3,,64,64,2,3,9,15,23
128,8128,128,,128,128,2,,128,128,3,,128,128,2,3,14,24,41
256,32640,256,,256,256,2,,256,256,3,,256,256,2,3,23,42,67
512,130816,512,,512,512,2,,512,512,3,,512,512,2,3,38,72,120
,,,,,,,,,,,,,,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,
V,E,Colors,,V,E,Colors,,V,E,Colors,,,,,,,,
4,2,2,,4,3,3,,4,6,3,,,,,,,,
8,7,3,,8,14,3,,8,28,5,,,,,,,,
16,30,4,,16,60,6,,16,120,8,,,,,,,,
32,124,6,,32,248,8,,32,496,14,,,,,,,,
64,504,9,,64,1008,15,,64,2016,23,,,,,,,,
128,2032,14,,128,4064,24,,128,8128,41,,,,,,,,
256,8160,23,,256,16320,42,,256,32640,67,,,,,,,,
512,32704,38,,512,65408,72,,512,130816,120,,,,,,,,
,,,,,,,,,,,,,,,,,,
Smallest Last Vertex ,,,,,,,,,,,,,,,,,,
V,Complete,Cycle,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density,,,,,,,,,,,,,
4,4,2,2,3,3,,,,,,Smallest Last Vertex ,BFS,Incidence Degree,First Fit,Random,Smallest Original Degree Last,,
8,8,2,3,3,5,,,,,4,2,2,2,2,2,2,,
16,16,2,4,6,8,,,,,8,3,3,3,3,3,3,,
32,32,2,6,8,14,,,,,16,4,4,4,4,4,4,,
64,64,2,9,15,23,,,,,32,6,6,6,6,6,6,,
128,128,2,14.4,24,40.6,,,,,64,9,11,9,9,10,9,,
256,256,2,22.8,41.6,67.4,,,,,128,14.4,15,14,14,15,14,,
512,512,2,37.8,71.6,120.4,,,,,256,22.8,23.6,22.6,23.8,23.2,21.6,,
,,,,,,,,,,512,37.8,39,36.8,38.8,38.8,37.2,,
BFS,,,,,,,,,,,,,,,,,,
V,Complete,Cycle,Random E = 25% Density,Radom E = 50% Density,Random E = 75% Density,,,,,,,,,,,,,
4,4,2,2,3,3,,,,,,,,,,,,,
8,8,2,3,3,5,,,,,,,,,,,,,
16,16,2,4,6,9,,,,,,,,,,,,,
32,32,2,6,9,14,,,,,,,,,,,,,
64,64,2,11,14,25,,,,,,,,,,,,,
128,128,2,15,26,41,,,,,,,,,,,,,
256,256,2,23.6,43,69.8,,,,,,,,Smallest Original Degree Last,Smallest Original Degree Last,,,,
512,512,2,39,74.2,123.6,,,,,First Fit,,,37.2,37.2,,,,
Incidence Degree,,,,,,,,,,38.8,,,72.5,72.5,,,,
V,Complete,Cycle,Random E = 25% Density,Radom E = 50% Density,Random E = 75% Density,,,,,73.8,,,123.6,123.6,,,,
4,4,2,2,3,3,,,,,124.4,,,,,,,,
8,8,2,3,3,5,,,,,,First Fit,BFS,Smallest Original Degree Last,Random,Incidence Degree,Smallest Last Vertex ,,
16,16,2,4,6,8,,,,,Random E = 25% Density,38.8,39,37.2,38.8,36.8,37.8,,
32,32,2,6,8,15,,,,,Radom E = 50% Density,73.8,74.2,72.5,75.2,72.2,71.6,,
64,64,2,9,17,22.6,,,,,Random E = 75% Density,124.4,123.6,123.6,123,123,120.4,,
128,128,2,14,24.6,40,,,,,,,,,,,,,
256,256,2,22.6,42.8,69,,,,,,,,,,,,,
512,512,2,36.8,72.2,123,,,,,,,,,,,,,
First Fit,,,,,,,,,,,,,,,,,,
V,Complete,Cycle,Random E = 25% Density,Radom E = 50% Density,Random E = 75% Density,,,,,,,,,,,,,
4,4,2,2,3,3,,,,,,,,,,,,,
8,8,2,3,4,5,,,,,,,,,,,,,
16,16,2,4,7,8,,,,,,,,,,,,,
32,32,2,6,10,17,,,,,,,,,,,,,
64,64,2,9,16,24,,,,,,,,,,,,,
128,128,2,14,27.4,41,,,,,,,,,,,,,
256,256,2,23.8,43.4,70.4,,,,,,,,,,,,,
512,512,2,38.8,73.8,124.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Random,,,,,,,,,,,,,,,,,,
V,Complete,Cycle,Random E = 25% Density,Radom E = 50% Density,Random E = 75% Density,,,,,,,,,,,,,
4,4,2,2,3,3,,,,,,,,,,,,,
8,8,2,3,4,5,,,,,,,,,,,,,
16,16,2,4,7,9,,,,,,,,,,,,,
32,32,2,6,10,15,,,,,,,,,,,,,
64,64,2,10,16,22,,,,,,,,,,,,,
128,128,2,15,25.8,42,,,,,,,,,,,,,
256,256,2,23.2,43.8,70.2,,,,,,,,,,,,,
512,512,2,38.8,75.2,123,,,,,,,,,,,,,
Smallest Original Degree Last,,,,,,,,,,,,,,,,,,
V,Complete,Cycle,Random E = 25% Density,Radom E = 50% Density,Random E = 75% Density,,,,,,,,,,,,,
4,4,2,2,3,3,,,,,,,,,,,,,
8,8,2,3,3,5,,,,,,,,,,,,,
16,16,2,4,6,8,,,,,,,,,,,,,
32,32,2,6,8,13,,,,,,,,,,,,,
64,64,2,9,15,21.6,,,,,,,,,,,,,
128,128,2,14,23,38.6,,,,,,,,,,,,,
256,256,2,21.6,41,67,,,,,,,,,,,,,
512,512,2,37.2,72.5,123.6,,,,,,,,,,,,,