V,SmallestLast Complete - average time,SmallestLast Cycle - average time,E,SmallestLast Random E = 0 - average time,E,SmallestLast Random E = V - average time,E,SmallestLast Random E = (complete) * .25 - average time,E,SmallestLast Random E = (complete) * .5 - average time,E,SmallestLast Random E = (complete) * .75 - average time,,,,,,,
4,1.8,1.4,0,0.8,4,2,1.5,1,3,2.2,4.5,2,,,,,,,
8,6.6,4,0,1.2,8,2.8,7,2.8,14,4.2,21,4.6,,,,,,,
16,18.2,5,0,2.6,16,4.8,30,7.8,60,11.8,90,14.2,,,,,,,
32,59,8.6,0,4,32,10.4,124,20.4,248,35.8,372,50.2,,,,,,,
64,241,17,0,8,64,16.4,504,70.8,1008,130.8,1512,224.6,,,,,,,
128,961.8,32.8,0,14,128,31.4,2032,266.8,4064,547.2,6096,792.6,,,,,,,
256,3882.6,58.8,0,29.8,256,63.2,8160,1031,16320,2067.4,24480,3125.4,,,,,,,
512,16025.8,141.6,0,61.2,512,124.6,32704,4578,65408,8395.8,98112,15274.2,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Complete,,,,Cycle,,,,Random E = 0,,,,Random E = V,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,1.8,,4,4,1.4,,4,0,0.8,,4,4,2,,,,,
8,28,6.6,,8,8,4,,8,0,1.2,,8,8,2.8,,,,,
16,120,18.2,,16,16,5,,16,0,2.6,,16,16,4.8,,,,,
32,496,59,,32,32,8.6,,32,0,4,,32,32,10.4,,,,,
64,2016,241,,64,64,17,,64,0,8,,64,64,16.4,,,,,
128,8128,961.8,,128,128,32.8,,128,0,14,,128,128,31.4,,,,,
256,32640,3882.6,,256,256,58.8,,256,0,29.8,,256,256,63.2,,,,,
512,130816,16025.8,,512,512,141.6,,512,0,61.2,,512,512,124.6,,,,,
,,,,,,,,,,,,,,,,,,,
,Random E = 25% Density,,,,Random E = 50% Density,,,,Random E = 75% Density,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random E = 0,Random E = V,Random E = 25% Density,Random E = 50% Density,Random E = 75% Density
4,2,1,,4,3,2.2,,4,5,2,,4,1.8,1.4,0.8,2,1,2.2,2
8,7,2.8,,8,14,4.2,,8,21,4.6,,8,6.6,4,1.2,2.8,2.8,4.2,4.6
16,30,7.8,,16,60,11.8,,16,90,14.2,,16,18.2,5,2.6,4.8,7.8,11.8,14.2
32,124,20.4,,32,248,35.8,,32,372,50.2,,32,59,8.6,4,10.4,20.4,35.8,50.2
64,504,70.8,,64,1008,130.8,,64,1512,224.6,,64,241,17,8,16.4,70.8,130.8,224.6
128,2032,266.8,,128,4064,547.2,,128,6096,792.6,,128,961.8,32.8,14,31.4,266.8,547.2,792.6
256,8160,1031,,256,16320,2067.4,,256,24480,3125.4,,256,3882.6,58.8,29.8,63.2,1031,2067.4,3125.4
512,32704,4578,,512,65408,8395.8,,512,98112,15274.2,,512,16025.8,141.6,61.2,124.6,4578,8395.8,15274.2