Complete,Cycle,E,Random e = 0,E,Random e = v,E,Random e = (complete) * .25,E,Random e = (complete) * .5,E,Random e = (complete) * .75,,,,,,,,
1.6,1.2,0,1.2,4,1.2,1.5,1.4,3,927,4.5,2,,,,,,,,
4.8,4,0,3,8,485,7,4.2,14,3.8,21,4,,,,,,,,
310,5,0,5,16,5.2,30,5.4,60,6,90,6.2,,,,,,,,
28.6,16,0,196.8,32,15.4,124,16.8,248,18,372,22.4,,,,,,,,
260.2,34.4,0,40.6,64,39.2,504,130.6,1008,47.2,1512,57.8,,,,,,,,
292.6,96.8,0,134,128,87,2032,122.8,4064,155.4,6096,145.6,,,,,,,,
726.4,209,0,194.2,256,199.8,8160,302.6,16320,368,24480,527.4,,,,,,,,
3081,646.2,0,641.8,512,713,32704,1078.2,65408,1494.6,98112,1817.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Complete,,,,Cycle,,,,Random e = 0,,,,Random e = v,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,,,
4,6,1.6,,4,4,1.2,,4,0,1.2,,4,4,1.2,,,,,
8,28,4.8,,8,8,4,,8,0,3,,8,8,485,,,,,
16,120,310,,16,16,5,,16,0,5,,16,16,5.2,,,,,
32,496,28.6,,32,32,16,,32,0,196.8,,32,32,15.4,,,,,
64,2016,260.2,,64,64,34.4,,64,0,40.6,,64,64,39.2,,,,,
128,8128,292.6,,128,128,96.8,,128,0,134,,128,128,87,,,,,
256,32640,726.4,,256,256,209,,256,0,194.2,,256,256,199.8,,,,,
512,130816,3081,,512,512,646.2,,512,0,641.8,,512,512,713,,,,,
Random e = 25% density,,,,Random e = 50% density,,,,Random e = 75% density,,,,,,,,,,,
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,Complete,Cycle,Random e = 0,Random e = v,Random e = 25% density,Random e = 50% density,Random e = 75% density
4,1.5,1.4,,4,3,927,,4,5,2,,4,1.6,1.2,1.2,1.2,1.4,927,2
8,7,4.2,,8,14,3.8,,8,21,4,,8,4.8,4,3,485,4.2,3.8,4
16,30,5.4,,16,60,6,,16,90,6.2,,16,310,5,5,5.2,5.4,6,6.2
32,124,16.8,,32,248,18,,32,372,22.4,,32,28.6,16,196.8,15.4,16.8,18,22.4
64,504,130.6,,64,1008,47.2,,64,1512,57.8,,64,260.2,34.4,40.6,39.2,130.6,47.2,57.8
128,2032,122.8,,128,4064,155.4,,128,6096,145.6,,128,292.6,96.8,134,87,122.8,155.4,145.6
256,8160,302.6,,256,16320,368,,256,24480,527.4,,256,726.4,209,194.2,199.8,302.6,368,527.4
512,32704,1078.2,,512,65408,1494.6,,512,98112,1817.2,,512,3081,646.2,641.8,713,1078.2,1494.6,1817.2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,нн,,,,,,,,,,,,,,,,,